DateTime,Open,High,Low,Close,Volume
2019-06-07,8555.0,8814.78,7444.58,7980.53,298786.282327
2019-06-14,7978.94,8684.41,7506.66,8650.0,233216.965904
2019-06-21,8650.88,10174.99,8567.63,10159.86,311719.118402
2019-06-28,10159.86,13970.0,9921.72,12400.63,691612.676093
2019-07-05,12407.06,12441.54,9727.0,10970.73,581540.384363
2019-07-12,10982.41,13147.08,10964.51,11757.22,474053.153824
2019-07-19,11757.22,11799.98,9060.0,10504.29,527677.958631
2019-07-26,10505.78,11068.99,9525.0,9824.0,282774.711654
2019-08-02,9824.0,10670.0,9165.0,10523.75,259002.543292
2019-08-09,10523.75,12330.7,10497.93,11879.99,375393.927668
2019-08-16,11879.98,11985.0,9750.0,10331.54,264593.39225
2019-08-23,10331.15,10949.96,9762.0,10389.55,231593.915462
2019-08-30,10388.16,10604.0,9320.0,9584.54,228531.969613
2019-09-06,9582.76,10905.87,9420.75,10298.73,266128.810415
2019-09-13,10298.71,10592.5,9880.0,10342.06,217119.016336
2019-09-20,10344.13,10419.99,9653.0,10168.59,187719.936703
2019-09-27,10167.92,10176.7,7750.0,8177.91,341135.698643
2019-10-04,8177.47,8500.0,7710.0,8137.13,248570.892339
2019-10-11,8137.09,8779.51,7762.0,8258.5,288820.384296
2019-10-18,8257.95,8451.37,7816.01,7947.01,207507.52432
2019-10-25,7946.89,8799.0,7300.0,8655.02,313374.908781
2019-11-01,8655.88,10370.0,8470.38,9231.61,553967.432237
2019-11-08,9231.4,9513.68,8696.0,8773.73,287208.699517
2019-11-15,8773.74,9147.19,8400.0,8471.73,255512.197848
2019-11-22,8471.62,8635.0,6790.0,7268.23,351973.240299
2019-11-29,7268.23,7850.0,6515.0,7739.68,513840.38959700003
2019-12-06,7740.99,7810.0,7067.0,7527.47,377887.977844
2019-12-13,7527.8,7650.0,7080.3,7258.48,257692.798108
2019-12-20,7257.37,7440.0,6435.0,7187.83,336964.596623
2019-12-27,7188.01,7695.38,7076.42,7254.74,267680.627829
2020-01-03,7254.77,7528.45,6871.04,7344.96,230968.82614699999
2020-01-10,7345.0,8455.0,7272.21,8197.02,473395.380476
2020-01-17,8198.86,9041.65,7960.0,8913.28,452205.518695
2020-01-24,8913.27,9198.98,8238.0,8439.0,303296.994473
2020-01-31,8438.99,9578.0,8254.9,9352.89,345252.87159
2020-02-07,9351.71,9885.0,9093.01,9813.73,352255.525446
2020-02-14,9813.87,10500.0,9667.11,10344.36,396395.701987
2020-02-21,10344.36,10375.0,9350.0,9677.05,416042.822737
2020-02-28,9677.05,9990.0,8445.0,8692.91,408283.921359
2020-03-06,8690.8,9170.0,8411.0,9131.88,336877.996803
2020-03-13,9130.89,9188.0,3782.13,5578.6,1070361.520423
2020-03-20,5576.05,6900.0,4442.12,6208.36,1209639.969433
2020-03-27,6204.57,6957.96,5688.0,6359.11,861939.143107
2020-04-03,6359.11,7198.0,5857.76,6734.1,698579.402604
2020-04-10,6732.97,7459.69,6650.01,6858.92,586142.029502
2020-04-17,6858.92,7190.0,6468.27,7027.55,525530.811861
2020-04-24,7026.78,7738.0,6751.0,7505.0,469854.675761
2020-05-01,7505.0,9460.0,7431.07,8826.96,687434.052846
2020-05-08,8825.67,10067.0,8522.0,9800.01,663791.141064
2020-05-15,9800.02,9939.0,8117.0,9316.42,859068.306497
2020-05-22,9315.96,9950.0,8815.0,9170.0,531577.406305
2020-05-29,9170.0,9625.47,8642.72,9427.07,435435.35064
2020-06-05,9426.6,10380.0,9266.0,9621.16,441115.755012
2020-06-12,9621.17,9992.72,9113.0,9465.13,369063.279336
2020-06-19,9464.96,9589.0,8910.45,9310.23,326735.011683
2020-06-26,9310.23,9780.0,9009.69,9162.21,321267.968238
2020-07-03,9162.21,9292.0,8833.0,9058.26,263719.679548
2020-07-10,9057.79,9470.0,8893.03,9288.34,292046.553498
2020-07-17,9288.34,9345.0,9047.25,9154.32,252430.199507
2020-07-24,9154.31,9664.0,9101.35,9537.8,289081.281254
2020-07-31,9538.1,11444.0,9513.0,11335.46,561112.063729
2020-08-07,11335.46,12123.46,10518.5,11594.23,502456.785808
2020-08-14,11594.36,12067.35,11125.0,11760.54,453912.808746
2020-08-21,11760.55,12468.0,11485.81,11531.34,442737.919122
2020-08-28,11531.23,11824.9,11117.64,11526.91,360580.197454
2020-09-04,11526.9,12050.85,9875.5,10446.25,511559.040396
2020-09-11,10446.25,10565.68,9825.0,10387.89,433913.62546999997
2020-09-18,10387.89,11093.0,10200.0,10933.39,375958.362352
2020-09-25,10933.4,11179.79,10136.82,10686.67,349926.930592
2020-10-02,10686.57,10950.0,10374.0,10570.4,301533.223965
2020-10-09,10570.4,11104.64,10496.46,11050.64,261222.480148
