asset,timeframe,model_family,candidate_id,experiment_phase,input_family,weeks_observed,best_week,best_week_rap_pct,best_week_return_pct,best4_end_week,best4_mean_rap_pct,mean_weekly_rap_pct,mean_weekly_return_pct,mean_weekly_drawdown_pct,mean_weekly_trades,rel_volume,k_sl,k_tp,risk_penalty_lambda
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed10_adaptive_top_seed_extension_seed10_v1,adaptive_top_seed_extension_seed10_v1,kitchen_sink_guarded,10,2023-11-06,14.069394,15.424323,2023-12-11,5.304116,-0.650245,2.444755,6.190001,8.1,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed16_adaptive_top_seed_extension_seed16_v1,adaptive_top_seed_extension_seed16_v1,kitchen_sink_guarded,10,2023-12-18,11.281859,12.700927,2023-12-18,5.284708,0.709547,2.739713,4.060332,6.5,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed16_adaptive_top_seed_extension_seed16_v1,adaptive_top_seed_extension_seed16_v1,kitchen_sink_guarded,10,2023-12-18,11.220329,12.639397,2023-12-18,5.269325,-0.404458,1.968136,4.745189,7.5,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_margin_aware_rv0p50_cap2p5_sltp_risk_geometry_phase8_v1,sltp_risk_geometry_phase8_v1,kitchen_sink_guarded,10,2023-12-18,21.216137,22.475887,2023-11-20,5.184641,2.715387,4.737692,4.04461,6.3,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1_seed10_adaptive_top_seed_extension_seed10_v1,adaptive_top_seed_extension_seed10_v1,kitchen_sink_guarded,10,2023-12-11,8.996002,10.340046,2023-12-11,5.16623,-0.15814,2.487195,5.290671,8.2,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed7_adaptive_top_seed_extension_seed7_v1,adaptive_top_seed_extension_seed7_v1,kitchen_sink_guarded,10,2023-12-18,14.138281,15.557349,2023-12-18,5.039955,-1.403493,1.78485,6.376685,8.6,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed8_adaptive_top_seed_extension_seed8_v1,adaptive_top_seed_extension_seed8_v1,kitchen_sink_guarded,10,2023-12-18,11.220329,12.639397,2023-12-18,5.032605,0.55158,3.049388,4.995616,6.6,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_aware_rv0p50_base_sltp_risk_geometry_phase8_v1_seed12_adaptive_top_seed_extension_seed12_v1,adaptive_top_seed_extension_seed12_v1,kitchen_sink_guarded,10,2023-11-06,15.729117,17.621516,2023-12-18,4.731907,2.983403,4.982411,3.998016,4.2,0.5,2.0,3.0,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed15_adaptive_top_seed_extension_seed15_v1,adaptive_top_seed_extension_seed15_v1,kitchen_sink_guarded,10,2023-12-04,7.684109,9.540533,2023-12-18,4.488726,-0.280252,2.375097,5.310697,7.4,0.5,1.25,1.25,0.5
solusdt,4h,sac,solusdt_4h_kitchen_sink_guarded_all_available_sac_fine_tune_recent_window_m6_base3y_fixed_rv0p50_sl1p25_tp1p25_sltp_risk_geometry_phase8_v1_seed9_adaptive_top_seed_extension_seed9_v1_seed13_adaptive_top_seed_extension_seed13_v1,adaptive_top_seed_extension_seed13_v1,kitchen_sink_guarded,10,2023-12-04,7.684109,9.540533,2023-12-18,4.265891,-0.019768,2.418135,4.875807,7.8,0.5,1.25,1.25,0.5
