run_id,asset,timeframe,preset,algo,seed,timesteps
ethusdt_4h_tech_stat_sac_s1,ethusdt,4h,tech_stat,sac,1,100000
ethusdt_4h_tech_stat_dqn_s0,ethusdt,4h,tech_stat,dqn,0,100000
ethusdt_4h_tech_stat_dqn_s1,ethusdt,4h,tech_stat,dqn,1,100000
ethusdt_4h_tech_stat_decomp_ppo_s0,ethusdt,4h,tech_stat_decomp,ppo,0,100000
ethusdt_4h_tech_stat_decomp_ppo_s1,ethusdt,4h,tech_stat_decomp,ppo,1,100000
ethusdt_4h_tech_stat_decomp_sac_s0,ethusdt,4h,tech_stat_decomp,sac,0,100000
ethusdt_4h_tech_stat_decomp_sac_s1,ethusdt,4h,tech_stat_decomp,sac,1,100000
ethusdt_4h_tech_stat_decomp_dqn_s0,ethusdt,4h,tech_stat_decomp,dqn,0,100000
ethusdt_4h_tech_stat_decomp_dqn_s1,ethusdt,4h,tech_stat_decomp,dqn,1,100000
ethusdt_4h_learned_lstm_ppo_s0,ethusdt,4h,learned_lstm,ppo,0,100000
ethusdt_4h_learned_lstm_ppo_s1,ethusdt,4h,learned_lstm,ppo,1,100000
ethusdt_4h_learned_lstm_sac_s0,ethusdt,4h,learned_lstm,sac,0,100000
ethusdt_4h_learned_lstm_sac_s1,ethusdt,4h,learned_lstm,sac,1,100000
ethusdt_4h_learned_lstm_dqn_s0,ethusdt,4h,learned_lstm,dqn,0,100000
ethusdt_4h_learned_lstm_dqn_s1,ethusdt,4h,learned_lstm,dqn,1,100000
ethusdt_4h_learned_cnn_ppo_s0,ethusdt,4h,learned_cnn,ppo,0,100000
ethusdt_4h_learned_cnn_ppo_s1,ethusdt,4h,learned_cnn,ppo,1,100000
ethusdt_4h_learned_cnn_sac_s0,ethusdt,4h,learned_cnn,sac,0,100000
ethusdt_4h_learned_cnn_sac_s1,ethusdt,4h,learned_cnn,sac,1,100000
ethusdt_4h_learned_cnn_dqn_s0,ethusdt,4h,learned_cnn,dqn,0,100000
ethusdt_4h_learned_cnn_dqn_s1,ethusdt,4h,learned_cnn,dqn,1,100000
ethusdt_4h_sota_low_cost_ppo_s0,ethusdt,4h,sota_low_cost,ppo,0,100000
ethusdt_4h_sota_low_cost_ppo_s1,ethusdt,4h,sota_low_cost,ppo,1,100000
ethusdt_4h_sota_low_cost_sac_s0,ethusdt,4h,sota_low_cost,sac,0,100000
ethusdt_4h_sota_low_cost_sac_s1,ethusdt,4h,sota_low_cost,sac,1,100000
ethusdt_4h_sota_low_cost_dqn_s0,ethusdt,4h,sota_low_cost,dqn,0,100000
ethusdt_4h_sota_low_cost_dqn_s1,ethusdt,4h,sota_low_cost,dqn,1,100000
ethusdt_4h_crypto_full_ppo_s0,ethusdt,4h,crypto_full,ppo,0,100000
ethusdt_4h_crypto_full_ppo_s1,ethusdt,4h,crypto_full,ppo,1,100000
ethusdt_4h_crypto_full_sac_s0,ethusdt,4h,crypto_full,sac,0,100000
ethusdt_4h_crypto_full_sac_s1,ethusdt,4h,crypto_full,sac,1,100000
ethusdt_4h_crypto_full_dqn_s0,ethusdt,4h,crypto_full,dqn,0,100000
ethusdt_4h_crypto_full_dqn_s1,ethusdt,4h,crypto_full,dqn,1,100000
ethusdt_4h_kitchen_sink_guarded_ppo_s0,ethusdt,4h,kitchen_sink_guarded,ppo,0,100000
ethusdt_4h_kitchen_sink_guarded_ppo_s1,ethusdt,4h,kitchen_sink_guarded,ppo,1,100000
ethusdt_4h_kitchen_sink_guarded_sac_s0,ethusdt,4h,kitchen_sink_guarded,sac,0,100000
